Country,female_no_education,female_primary,female_secondary,female_tertiary,all_no_education,all_primary,all_secondary,all_tertiary,male_no_education,male_primary,male_secondary,male_tertiary
Guyana,4.83,28.95,65.82,0.4,4.79,34.97,59.83,0.41,4.75,40.989999999999995,53.84,0.41999999999999993
Haiti,36.6,39.36,22.74,1.29,25.74,45.35,27.98,0.92,14.879999999999995,51.34,33.22,0.55
Honduras,13.69,46.88,35.89,3.54,13.58,48.48,34.4,3.54,13.47,50.07999999999999,32.91,3.54
Hong Kong,7.54,17.81,58.15,16.5,5.38,16.96,59.62,18.05,3.2199999999999998,16.110000000000003,61.089999999999996,19.6
Hungary,0.32,2.34,79.13,18.21,0.29,1.95,80.58,17.18,0.25999999999999995,1.56,82.03,16.15
Iceland,1.49,27.74,40.1,30.67,1.56,30.05,38.06,30.33,1.6300000000000001,32.36,36.02,29.989999999999995
India,47.22,13.95,33.23,5.6,33.16,16.82,41.53,8.5,19.099999999999994,19.69,49.830000000000005,11.4
Indonesia,10.54,44.83,38.49,6.13,7.5,44.17,41.94,6.4,4.460000000000001,43.510000000000005,45.38999999999999,6.670000000000001
Iran,17.24,17.1,47.29,18.36,14.18,17.31,49.11,19.39,11.120000000000001,17.519999999999996,50.93,20.42
Iraq,33.9,25.5,28.35,12.24,24.72,27.08,32.05,16.15,15.54,28.659999999999997,35.74999999999999,20.059999999999995
Ireland,0.66,16.83,40.79,41.72,0.73,17.35,41.83,40.09,0.7999999999999999,17.870000000000005,42.87,38.46000000000001
Israel,3.58,10.61,47.99,37.82,2.54,10.52,51.93,35.01,1.5,10.43,55.87,32.199999999999996
Italy,7.51,20.12,60.84,11.54,5.61,17.68,65.64,11.06,3.710000000000001,15.239999999999998,70.44,10.580000000000002
Jamaica,5.75,15.53,61.08,17.64,5.71,16.47,63.11,14.7,5.67,17.409999999999997,65.14,11.759999999999998
Japan,0.15,11.87,59.43,28.55,0.13,11.71,57.57,30.59,0.11000000000000001,11.550000000000002,55.71,32.629999999999995
Jordan,10.5,12.27,65.7,11.53,6.98,13.01,67.02,13.0,3.460000000000001,13.75,68.33999999999999,14.47
Kazakhstan,0.05,5.02,70.57,24.37,0.05,3.62,72.91,23.43,0.05,2.2200000000000006,75.25,22.49
Kenya,18.96,54.79,20.66,5.59,19.68,51.47,22.4,6.45,20.4,48.15,24.139999999999997,7.3100000000000005
South Korea,5.46,12.55,45.87,36.12,3.44,9.64,45.28,41.64,1.42,6.73,44.690000000000005,47.160000000000004
Kuwait,8.21,37.45,44.84,9.5,6.09,43.82,42.97,7.12,3.969999999999999,50.19,41.099999999999994,4.74
Kyrgyzstan,1.02,6.75,75.06,17.18,0.76,6.4,76.88,15.96,0.5,6.050000000000001,78.69999999999999,14.740000000000002
Laos,38.64,29.74,25.51,6.11,31.19,32.09,30.62,6.09,23.740000000000002,34.44000000000001,35.730000000000004,6.069999999999999
Latvia,0.34,4.4,74.11,21.15,0.3,4.12,75.55,20.03,0.25999999999999995,3.84,76.99,18.910000000000004
Lesotho,5.89,69.49,23.19,1.44,12.39,65.45,20.79,1.37,18.89,61.41000000000001,18.389999999999997,1.3000000000000003
Liberia,58.27,26.19,13.35,2.19,47.26,28.88,20.04,3.82,36.24999999999999,31.569999999999997,26.729999999999997,5.449999999999999
Libya,24.17,11.23,35.29,29.31,22.1,25.2,29.32,23.38,20.03,39.17,23.35,17.45
Lithuania,0.0,11.89,59.44,28.68,0.0,10.11,64.44,25.44,0.0,8.329999999999998,69.44,22.200000000000003
Luxembourg,4.68,24.92,46.3,24.1,4.64,20.42,46.75,28.19,4.6,15.920000000000002,47.2,32.28
Macau,4.43,20.74,57.81,17.02,3.46,21.36,58.11,17.07,2.49,21.98,58.41,17.12
Malawi,23.63,61.57,14.65,0.15,18.02,64.32,17.42,0.25,12.41,67.07,20.190000000000005,0.35
Malaysia,9.25,18.16,54.07,18.52,6.88,18.27,56.25,18.6,4.51,18.38,58.43,18.680000000000003
Maldives,21.2,33.25,44.5,1.05,19.52,33.81,45.31,1.36,17.84,34.370000000000005,46.120000000000005,1.6700000000000002
Mali,75.29,9.72,12.96,2.03,74.57,11.17,12.74,1.51,73.84999999999998,12.62,12.52,0.9900000000000002
Malta,2.03,29.56,56.26,12.14,1.64,25.55,59.95,12.86,1.25,21.540000000000003,63.64000000000001,13.579999999999998
Mauritania,41.9,46.35,10.9,0.85,32.16,50.92,15.15,1.77,22.419999999999995,55.49,19.4,2.69
Mauritius,8.03,34.0,54.1,3.87,5.38,33.22,56.69,4.71,2.7300000000000004,32.44,59.279999999999994,5.55
Mexico,8.19,29.54,46.26,16.02,7.24,28.87,47.28,16.62,6.290000000000001,28.200000000000003,48.300000000000004,17.220000000000002
Moldova,1.27,6.93,75.59,16.21,0.98,6.09,78.33,14.61,0.69,5.25,81.07,13.009999999999998
Mongolia,3.9,9.47,62.86,23.77,4.29,10.28,64.84,20.6,4.68,11.089999999999998,66.82000000000001,17.430000000000003
Morocco,54.44,17.75,21.02,6.78,43.76,24.82,22.05,9.37,33.08,31.89,23.080000000000002,11.959999999999997
Mozambique,77.58,17.03,4.91,0.48,68.14,24.23,7.16,0.46,58.7,31.43,9.41,0.44000000000000006
Myanmar,23.71,48.15,22.46,5.68,16.95,58.74,13.97,10.35,10.189999999999998,69.33000000000001,5.48,15.02
Namibia,18.63,49.79,29.88,1.69,20.81,46.36,31.37,1.46,22.99,42.93,32.86,1.23
Nepal,48.03,25.96,24.3,1.71,36.15,31.11,29.81,2.92,24.269999999999996,36.26,35.31999999999999,4.13
Netherlands,0.0,11.94,64.49,23.57,0.0,10.58,63.63,25.79,0.0,9.22,62.77000000000001,28.009999999999998
