country,California,Florida,Illinois,Maryland,Massachusetts,New Jersey,New York,Pennsylvania,Texas,Virginia
Africa,0.019588539876112213,0.0189449319888525,0.04171813711949616,0.20812655990521603,0.0940659797709448,0.05784881081958404,0.054227903255607036,0.09099515116446681,0.05852536773141146,0.11829835986056463
Asia,0.4069598297274114,0.10681087140417979,0.31007955361582235,0.30550252012702606,0.30253414833740916,0.32261006234520295,0.2980587261354443,0.3765203087797353,0.23578434729584846,0.43307137918677174
Europe,0.0637849018770165,0.08990258914624083,0.20184354455554943,0.08643113109516272,0.17189220166191618,0.12908684772053503,0.1470521230776958,0.16627426845762458,0.04308871557783656,0.08843938796121004
Latin America,0.4896314100950471,0.7580594636953848,0.43421247444892547,0.38967573394450866,0.40855452661423275,0.4805225113040225,0.4844318697541926,0.34393404847608755,0.6485707641872146,0.34427272431105815
Northern America,0.012389354223275159,0.024514736181100116,0.009819899453068891,0.008450923075429004,0.020323509311667622,0.008852028488612532,0.013156336944296455,0.018942457009138464,0.011173068716065347,0.011517355216338409
Oceania,0.007645964201137612,0.001767407584241965,0.002326390807137727,0.0018131318526575443,0.002629634303829519,0.0010797393220429127,0.003073040832763795,0.0033337661129473005,0.0028577364916235358,0.0044007934640570194
