education,California,Florida,Illinois,Maryland,Massachusetts,New Jersey,New York,Pennsylvania,Texas,Virginia
primary or less,0.3053053053053053,0.18381618381618378,0.23876123876123875,0.17717717717717715,0.18899999999999997,0.18181818181818182,0.2307692307692308,0.18,0.332,0.16683316683316685
secondary,0.37237237237237236,0.4895104895104895,0.3976023976023976,0.37037037037037035,0.4059999999999999,0.40559440559440557,0.4285714285714286,0.408,0.35900000000000004,0.3656343656343656
tertiary,0.32232232232232233,0.32667332667332666,0.3636363636363637,0.45245245245245247,0.405,0.4125874125874126,0.3406593406593406,0.41200000000000003,0.309,0.4675324675324675
