gender,California,Florida,Illinois,Maryland,Massachusetts,New Jersey,New York,Pennsylvania,Texas,Virginia
Male,0.487,0.478,0.501,0.481,0.488,0.489,0.474,0.492,0.5,0.481
Female,0.513,0.522,0.499,0.519,0.512,0.511,0.526,0.508,0.5,0.519
