education,California,Florida,Illinois,Maryland,Massachusetts,New Jersey,New York,Pennsylvania,Texas,Virginia
primary or less,0.2522291479135175,0.15069935328620845,0.19853905225697696,0.15672831632653061,0.13734650293646555,0.1488440423722261,0.17557435547893027,0.13662436989396837,0.29237230727543695,0.14679036360915756
secondary,0.3763990556904839,0.4898104978192209,0.39595429855778236,0.359375,0.4038974906567005,0.3853707569782726,0.42792991459845237,0.40326786024682776,0.3580815607641241,0.35897052222055964
tertiary,0.3713717963959986,0.3594901488945706,0.4055066491852407,0.4838966836734694,0.45875600640683395,0.4657852006495013,0.3964957299226174,0.4601077698592039,0.349546131960439,0.4942391141702828
