age,California,Florida,Illinois,Maryland,Massachusetts,New Jersey,New York,Pennsylvania,Texas,Virginia
20-24,0.08449997211222042,0.08284371327849589,0.09301937207748831,0.08826479438314945,0.07107913669064748,0.07225630538513975,0.07736038345780849,0.0958103822400267,0.09639613243480809,0.09297820823244551
25-34,0.240002231022366,0.2090677634155895,0.22528390113560454,0.20795720494817788,0.23884892086330936,0.21381504203590093,0.2389923085497715,0.22450342179936572,0.24194257251684734,0.22203389830508474
35-44,0.2351497573763177,0.21602036819428125,0.22929191716766867,0.225008358408559,0.21323741007194244,0.22426721199727334,0.22227176457474082,0.21582373560340512,0.24223556987987108,0.21476997578692494
45-64,0.3768196776172681,0.41216216216216217,0.3877755511022044,0.40655299231026415,0.39568345323741005,0.4096796182685753,0.38657897670270874,0.38941745952261725,0.36111924992675065,0.40314769975786924
65-100,0.06352836187182777,0.0799059929494712,0.06462925851703406,0.07221664994984955,0.08115107913669065,0.07998182231311066,0.07479656671497047,0.07444500083458522,0.058306475241722826,0.06707021791767555
