,employment ratio
California,0.610656522893948
Florida,0.6186846187567712
Illinois,0.6486095703869574
Maryland,0.6932365824392779
Massachusetts,0.6756863869753489
New Jersey,0.6632958875594173
New York,0.6097863840803062
Pennsylvania,0.6597609303631397
Texas,0.6492721753265991
Virginia,0.6849134901234438
