Country of origin,Location Description,Female 0 - 4,Female 5 - 11,Female 12 - 17,Female 18 - 59,Female 60,Female other,Male 0 - 4,Male 5 - 11,Male 12 - 17,Male 18 - 59,Male 60,Male other
Bangladesh,Illinois,0,0,5,0,0,0,0,0,0,11,0,0
Bangladesh,Maryland,0,0,0,12,0,0,0,0,0,36,0,5
Bangladesh,Massachusetts,0,0,0,5,0,0,0,0,0,12,0,5
Bangladesh,New Jersey,0,7,0,21,0,0,0,0,5,56,0,11
Bangladesh,New York,8,26,40,287,0,19,16,26,48,2096,25,648
Bangladesh,Pennsylvania,0,0,5,21,0,0,0,0,5,37,0,10
Bangladesh,Texas,0,0,0,8,0,0,0,0,5,40,0,13
Bangladesh,Virginia,0,0,0,10,0,0,0,5,0,54,0,14
Bahamas,Florida,0,9,0,12,0,0,0,0,8,23,0,0
Bhutan,New York,0,0,0,5,0,0,0,0,0,7,0,0
Burkina Faso,Illinois,0,0,0,0,0,0,0,0,0,8,0,0
Burkina Faso,Maryland,0,0,5,5,0,0,0,0,0,6,0,0
Burkina Faso,New Jersey,0,0,0,41,0,0,0,5,0,74,0,8
Burkina Faso,New York,0,6,12,228,0,5,0,5,11,379,5,15
Burkina Faso,Pennsylvania,0,0,0,19,0,0,0,0,0,24,0,0
Burkina Faso,Texas,0,0,0,9,0,0,5,0,0,9,0,0
Burkina Faso,Florida,0,0,0,5,0,0,0,0,0,0,0,0
Bolivia (Plurinational State of),California,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia (Plurinational State of),Florida,0,5,5,26,0,0,0,8,0,31,0,5
Bolivia (Plurinational State of),Maryland,0,0,0,7,0,6,0,0,0,6,0,0
Bolivia (Plurinational State of),Massachusetts,0,0,0,8,0,0,0,0,0,0,0,0
Bolivia (Plurinational State of),New Jersey,0,0,0,6,0,0,0,0,0,0,0,0
Bolivia (Plurinational State of),New York,0,0,0,0,0,0,0,0,0,7,0,0
Bolivia (Plurinational State of),Pennsylvania,0,0,0,0,0,0,0,0,0,6,0,0
Bolivia (Plurinational State of),Texas,0,0,0,0,0,0,0,0,0,9,0,0
Bolivia (Plurinational State of),Virginia,0,9,0,34,0,5,5,6,0,58,0,9
Brazil,California,14,29,8,107,0,5,9,28,11,108,0,5
Brazil,Florida,114,174,70,471,5,30,117,194,70,515,14,39
Brazil,Illinois,0,0,0,9,0,0,7,0,0,6,0,0
Brazil,Maryland,5,20,5,28,0,5,5,10,5,32,0,0
Brazil,Massachusetts,500,987,618,4089,0,314,537,1058,634,4074,22,254
Brazil,New Jersey,106,182,104,802,0,79,96,165,111,822,5,56
Brazil,New York,8,15,6,45,0,5,24,21,7,55,0,6
Brazil,Pennsylvania,100,208,112,780,0,47,94,209,110,808,0,36
Brazil,Texas,8,0,0,11,0,5,5,5,0,13,0,0
Brazil,Virginia,0,0,7,15,0,5,0,6,5,26,0,0
Bosnia and Herzegovina,Florida,0,0,0,0,0,0,0,0,0,8,0,0
Bosnia and Herzegovina,Illinois,0,0,0,14,0,0,0,0,0,18,0,0
Bosnia and Herzegovina,New York,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,California,0,0,0,0,0,6,0,0,0,7,0,0
Bulgaria,Florida,0,0,0,6,0,0,0,0,0,0,0,0
Bulgaria,Illinois,0,0,0,17,0,0,0,0,0,17,0,0
Bulgaria,Massachusetts,0,0,0,5,0,0,0,0,0,0,0,0
Bulgaria,New Jersey,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,New York,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,Virginia,0,0,0,0,0,0,0,0,0,5,0,0
Bulgaria,Maryland,0,0,0,0,0,0,0,0,0,0,0,0
Belize,California,0,6,0,16,0,0,0,10,0,17,0,0
Belize,Florida,0,0,0,6,0,0,0,0,0,0,0,0
Belize,Illinois,0,0,0,0,0,0,0,0,0,8,0,0
Belize,Maryland,0,0,0,5,0,0,0,0,0,0,0,0
Belize,Massachusetts,0,0,0,0,0,0,0,0,5,0,0,0
Belize,New Jersey,0,7,0,0,0,0,0,0,0,0,0,0
Belize,New York,0,0,5,5,0,0,0,7,5,0,0,0
Belize,Texas,0,0,0,9,0,0,0,5,0,8,0,0
Belize,Virginia,0,0,0,8,0,0,0,5,0,0,0,0
Cambodia,California,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,Florida,0,0,0,5,0,0,0,5,0,0,0,0
Cambodia,Maryland,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,Texas,0,0,0,0,0,0,0,0,0,0,0,5
Cambodia,Massachusetts,0,0,0,6,0,0,0,0,0,0,0,0
Canada,California,0,0,0,0,0,0,0,5,0,0,0,0
Canada,Florida,0,0,0,0,0,0,0,0,0,0,0,0
Canada,New Jersey,0,5,0,0,0,0,0,0,0,0,0,0
Canada,New York,0,6,5,0,0,0,0,0,0,0,0,0
Canada,Texas,0,0,0,0,0,0,0,5,0,0,0,0
Canada,Virginia,0,0,0,6,0,0,0,0,0,0,0,0
Central African Republic,Maryland,0,0,0,13,0,0,0,0,0,5,0,0
Central African Republic,New York,0,0,0,0,0,0,0,0,0,5,0,0
Central African Republic,Texas,0,0,0,0,0,0,0,0,0,5,0,0
Central African Republic,Pennsylvania,0,0,0,0,0,0,0,5,0,0,0,0
Central African Republic,Virginia,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,Florida,0,0,0,0,0,0,0,0,0,0,0,0
Chad,California,0,0,0,0,0,0,0,0,0,5,0,0
Chad,Illinois,0,0,0,5,0,0,0,0,0,0,0,0
Chad,New Jersey,0,0,0,0,0,0,0,0,0,30,0,0
Chad,New York,0,0,5,0,0,0,0,0,0,14,0,0
Chad,Pennsylvania,0,0,0,0,0,0,0,0,0,5,0,0
Chad,Texas,0,0,0,0,0,0,0,5,0,0,0,0
Chad,Virginia,0,0,0,0,0,0,0,0,0,5,0,0
China,California,0,87,109,2219,185,51,13,88,110,2598,117,86
China,Florida,0,0,5,60,5,7,0,0,0,79,0,10
China,Illinois,0,0,6,240,20,35,0,5,5,309,9,56
China,Maryland,0,0,0,22,0,0,0,5,0,25,0,0
China,Massachusetts,0,0,0,49,5,0,0,0,6,58,0,5
China,New Jersey,0,0,5,34,0,5,0,0,0,42,0,20
China,New York,0,31,35,2396,147,367,5,40,33,3486,116,730
China,Pennsylvania,0,0,10,66,5,0,0,0,12,99,0,0
China,Texas,0,7,5,111,5,12,0,9,0,135,5,13
China,Virginia,0,0,5,55,0,11,0,5,0,65,0,14
Chile,California,0,6,0,5,0,0,17,5,0,5,0,0
Chile,Florida,254,55,0,8,0,12,231,50,0,11,0,8
Chile,Illinois,8,0,0,0,0,0,5,0,0,0,0,0
Chile,Maryland,13,0,0,0,0,0,10,0,0,0,0,0
Chile,Massachusetts,49,10,0,0,0,0,56,15,0,0,0,5
Chile,New Jersey,48,13,0,10,0,0,54,11,0,6,0,0
Chile,New York,33,12,0,5,0,0,44,5,0,8,0,0
Chile,Pennsylvania,22,5,0,0,0,0,19,8,0,0,0,0
Chile,Texas,25,6,0,0,0,0,28,0,0,5,0,5
Chile,Virginia,0,0,0,0,0,0,8,0,0,0,0,0
Cameroon,California,0,0,0,127,0,22,5,0,0,169,0,37
Cameroon,Florida,0,0,0,7,0,0,0,0,0,17,0,0
Cameroon,Illinois,0,5,0,26,0,5,0,0,0,31,0,5
Cameroon,Maryland,0,11,0,211,8,47,0,8,0,294,0,117
Cameroon,Massachusetts,0,0,0,16,0,5,0,0,0,30,0,11
Cameroon,New Jersey,0,0,0,9,0,0,0,0,0,20,0,7
Cameroon,New York,0,0,0,12,0,5,0,0,0,33,0,6
Cameroon,Pennsylvania,0,0,0,11,0,0,0,0,0,27,0,0
Cameroon,Texas,0,0,0,79,5,24,0,0,0,135,0,49
Cameroon,Virginia,0,0,0,28,0,0,0,0,0,29,0,10
Congo,California,0,0,0,6,0,0,0,0,0,6,0,0
Congo,Florida,0,0,0,0,0,0,0,0,0,5,0,0
Congo,Illinois,0,0,0,8,0,0,0,0,0,15,0,0
Congo,Maryland,0,0,0,15,0,0,0,0,0,21,0,0
Congo,Massachusetts,0,0,0,0,0,0,0,0,0,6,0,0
Congo,New Jersey,0,0,0,8,0,0,0,0,0,0,0,0
Congo,New York,0,0,0,22,0,0,0,0,0,13,0,0
Congo,Pennsylvania,0,0,0,0,0,0,0,0,0,15,0,0
Congo,Texas,0,6,0,43,0,0,0,8,0,35,0,5
Congo,Virginia,0,0,5,13,0,0,0,0,0,7,0,0
Comoros,New York,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,California,42,105,68,512,10,25,51,108,71,551,11,32
Colombia,Florida,56,205,212,1493,70,74,63,201,189,1613,67,69
Colombia,Illinois,9,32,28,202,5,9,13,30,28,210,0,5
Colombia,Maryland,0,5,0,19,0,0,0,5,0,18,5,0
Colombia,Massachusetts,5,12,14,156,0,9,5,5,7,164,0,21
