Country of origin,Location Description,Female 0 - 4,Female 5 - 11,Female 12 - 17,Female 18 - 59,Female 60,Female other,Male 0 - 4,Male 5 - 11,Male 12 - 17,Male 18 - 59,Male 60,Male other
Haiti,Pennsylvania,5,10,14,167,0,6,5,14,7,212,0,6
Haiti,Texas,0,6,0,20,0,0,0,0,5,38,0,0
Haiti,Virginia,0,0,5,6,0,0,0,0,0,22,0,0
Hong Kong,California,0,0,0,0,0,0,0,0,0,6,0,0
Hong Kong,New York,0,0,0,6,0,0,0,0,0,0,0,0
Honduras,California,119,512,321,2043,8,230,125,543,365,1266,8,160
Honduras,Florida,153,663,434,2873,22,461,137,769,471,2430,21,291
Honduras,Illinois,18,106,90,445,0,106,23,123,94,270,0,54
Honduras,Maryland,39,228,158,1092,0,107,42,250,167,619,0,82
Honduras,Massachusetts,34,152,84,640,0,122,44,176,115,454,0,55
Honduras,New Jersey,68,275,198,1385,0,251,83,285,223,1003,8,143
Honduras,New York,108,423,288,1986,6,481,106,475,325,1181,5,238
Honduras,Pennsylvania,46,135,102,597,0,133,34,161,117,445,0,41
Honduras,Texas,200,885,634,3388,18,507,183,877,659,2451,13,332
Honduras,Virginia,114,649,393,2543,6,403,133,649,453,1707,13,219
Croatia,Florida,0,0,0,0,0,0,0,0,0,6,0,0
Croatia,Illinois,0,0,0,7,0,0,0,0,0,0,0,0
Croatia,New York,0,0,0,0,0,0,0,0,0,7,0,0
Hungary,California,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,Florida,0,0,0,5,0,0,0,0,0,9,0,0
Hungary,Maryland,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,New Jersey,0,0,0,9,0,0,0,0,0,8,0,0
Hungary,New York,0,0,0,15,0,0,0,0,0,13,0,0
Hungary,Pennsylvania,0,0,0,0,0,0,0,0,0,5,0,0
Hungary,Texas,0,0,0,0,0,0,0,0,0,5,0,0
Cote d'Ivoire,California,0,0,0,7,0,0,0,0,0,0,0,0
Cote d'Ivoire,Illinois,0,0,0,9,0,0,0,0,0,0,0,0
Cote d'Ivoire,Maryland,0,0,0,14,0,0,0,0,0,10,0,0
Cote d'Ivoire,Massachusetts,0,0,0,6,0,0,0,0,0,5,0,0
Cote d'Ivoire,New Jersey,0,0,0,18,0,0,0,5,0,24,0,0
Cote d'Ivoire,New York,0,0,5,93,0,0,0,5,0,91,5,0
Cote d'Ivoire,Pennsylvania,0,0,0,9,0,0,0,5,0,11,0,0
Cote d'Ivoire,Texas,0,0,0,12,0,0,0,0,0,12,0,0
Cote d'Ivoire,Virginia,0,0,0,0,0,0,0,0,0,5,0,0
India,California,51,124,66,916,11,37,71,161,116,8972,36,1094
India,Florida,0,0,9,39,0,5,0,0,13,71,0,5
India,Illinois,5,32,32,208,5,11,9,25,35,393,8,35
India,Maryland,0,0,5,28,0,0,0,0,8,74,0,7
India,Massachusetts,0,0,9,54,0,0,5,8,12,98,0,8
India,New Jersey,0,26,19,233,6,8,0,20,24,484,14,43
India,New York,10,34,32,400,5,26,33,43,52,4522,13,652
India,Pennsylvania,5,5,7,83,0,0,0,17,8,186,5,15
India,Texas,5,5,5,74,0,6,0,8,17,151,5,21
India,Virginia,0,0,5,15,0,0,0,0,5,56,0,5
Indonesia,California,0,6,9,151,23,0,0,5,10,153,6,0
Indonesia,Florida,0,0,0,5,0,0,0,0,0,6,0,0
Indonesia,Illinois,0,0,0,5,0,0,0,0,0,13,0,0
Indonesia,New Jersey,0,0,0,14,0,0,0,0,0,12,0,0
Indonesia,New York,0,0,0,13,0,0,0,0,0,15,0,0
Indonesia,Pennsylvania,0,0,0,15,0,0,0,5,0,13,0,0
Indonesia,Texas,0,0,0,11,0,0,0,0,0,8,0,0
Indonesia,Virginia,0,0,0,0,0,0,0,0,0,9,0,0
Indonesia,Maryland,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,Maryland,0,0,0,0,0,0,0,5,0,0,0,0
Ireland,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,New York,0,0,0,0,0,0,0,0,5,0,0,0
Iran (Islamic Rep. of),California,0,8,15,180,12,10,0,6,19,239,19,18
Iran (Islamic Rep. of),Florida,0,0,0,0,0,0,0,0,5,9,0,0
Iran (Islamic Rep. of),Illinois,0,0,0,5,0,0,0,0,0,6,0,0
Iran (Islamic Rep. of),Maryland,0,0,0,11,0,0,0,0,0,0,0,0
Iran (Islamic Rep. of),Massachusetts,0,0,0,6,0,0,0,0,0,5,0,0
Iran (Islamic Rep. of),New Jersey,0,0,0,0,0,0,0,0,0,10,0,0
Iran (Islamic Rep. of),New York,0,0,0,5,0,0,0,0,0,10,0,0
Iran (Islamic Rep. of),Pennsylvania,0,0,0,5,0,0,0,0,0,6,0,0
Iran (Islamic Rep. of),Texas,0,0,0,21,0,0,0,0,0,27,0,0
Iran (Islamic Rep. of),Virginia,0,0,0,14,0,0,0,0,0,22,0,0
Iraq,California,0,5,17,79,27,0,0,10,10,112,15,17
Iraq,Florida,0,0,0,11,0,0,0,0,5,21,0,0
Iraq,Illinois,0,7,16,35,10,0,0,5,5,48,5,0
Iraq,Maryland,0,0,0,5,0,0,0,0,0,15,0,0
Iraq,Massachusetts,0,0,0,12,0,0,0,0,0,16,0,0
Iraq,New Jersey,0,0,0,0,0,0,0,0,0,6,0,0
Iraq,New York,0,0,0,10,0,0,0,0,0,13,0,0
Iraq,Pennsylvania,0,0,0,12,0,0,0,0,0,14,0,0
Iraq,Texas,0,0,11,43,5,5,0,5,7,70,6,10
Iraq,Virginia,0,5,0,27,5,0,0,0,11,32,0,0
Israel,California,0,0,0,5,0,0,0,0,0,9,0,0
Israel,Florida,0,0,0,5,0,0,0,0,0,7,0,0
Israel,Illinois,0,0,0,0,0,0,0,0,0,5,0,0
Israel,Maryland,0,0,0,5,0,0,0,0,0,0,0,0
Israel,New York,0,0,0,0,0,0,0,0,0,6,0,0
Israel,Texas,0,0,0,0,0,0,0,0,0,5,0,0
Italy,California,0,0,0,0,0,0,0,0,0,9,0,0
Italy,Florida,0,0,6,5,5,0,0,6,0,0,0,7
Italy,Illinois,0,0,0,0,0,0,0,0,0,0,0,0
Italy,New York,0,0,13,5,0,0,0,0,0,9,0,5
Italy,Pennsylvania,0,0,5,0,0,0,0,0,0,0,0,0
Italy,Texas,0,0,0,0,0,0,0,0,5,0,0,0
Italy,Virginia,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,California,0,0,0,5,0,0,0,0,0,10,0,0
Jamaica,Florida,0,5,0,39,5,0,0,0,6,40,7,0
Jamaica,Illinois,0,0,0,5,0,0,0,0,0,0,0,0
Jamaica,Maryland,0,0,0,6,0,0,0,0,0,7,0,0
Jamaica,Massachusetts,0,0,0,10,0,0,0,0,0,9,0,0
Jamaica,New Jersey,0,0,0,14,0,0,0,0,5,21,0,0
Jamaica,New York,0,6,0,63,5,0,0,0,0,116,5,8
Jamaica,Pennsylvania,0,0,0,5,0,0,0,0,0,11,0,0
Jamaica,Texas,0,0,0,5,0,0,0,0,0,8,0,0
Jamaica,Virginia,0,0,0,0,0,0,0,0,0,5,0,5
Jordan,California,0,0,5,35,0,0,0,5,14,46,5,0
Jordan,Florida,0,0,5,7,0,0,0,5,5,15,0,0
Jordan,Illinois,0,8,9,51,0,0,0,14,6,119,0,0
Jordan,Maryland,0,0,0,0,0,0,0,0,0,5,0,0
Jordan,Massachusetts,0,0,0,5,0,0,0,0,0,0,0,0
Jordan,New Jersey,0,0,5,13,0,0,0,0,5,22,0,0
Jordan,New York,0,0,0,5,0,0,0,0,0,9,0,0
Jordan,Pennsylvania,0,0,0,6,0,0,0,5,0,7,0,0
Jordan,Texas,0,0,14,30,0,0,0,9,0,57,0,5
Jordan,Virginia,0,0,0,5,0,0,0,0,0,11,0,0
Japan,California,0,0,0,11,0,0,0,0,0,9,0,0
Japan,New York,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,California,0,10,5,65,10,0,5,12,5,86,5,5
Kazakhstan,Florida,0,6,5,46,0,0,0,0,11,41,0,0
Kazakhstan,Illinois,0,7,0,34,0,0,0,0,6,40,0,0
Kazakhstan,Massachusetts,0,0,0,7,0,0,0,0,0,0,0,0
Kazakhstan,New Jersey,0,0,0,6,0,0,0,0,0,7,0,0
Kazakhstan,New York,0,7,5,40,5,5,0,9,0,44,0,5
Kazakhstan,Pennsylvania,0,0,7,26,0,0,0,7,0,32,0,0
Kazakhstan,Texas,0,0,0,10,0,0,0,0,0,9,0,0
Kazakhstan,Virginia,0,0,0,6,0,0,0,0,0,12,0,0
Kenya,California,0,0,0,22,0,0,0,0,5,11,0,0
Kenya,Florida,0,0,0,7,0,0,0,0,0,0,0,0
Kenya,Illinois,0,0,0,0,0,0,0,0,0,5,0,0
Kenya,Maryland,0,0,0,11,5,0,0,0,0,8,0,0
Kenya,Massachusetts,0,0,5,46,5,0,0,0,5,27,0,0
Kenya,New Jersey,0,0,0,21,6,0,0,0,0,14,0,0
Kenya,New York,0,0,0,5,0,0,0,0,0,5,0,0
Kenya,Pennsylvania,0,0,0,12,0,0,0,0,0,15,0,0
Kenya,Texas,0,5,0,21,0,0,0,0,0,25,0,0
Kenya,Virginia,0,0,0,5,0,0,0,0,0,0,0,0
Kyrgyzstan,California,0,0,6,26,0,0,0,5,0,45,0,5
Kyrgyzstan,Florida,0,0,0,0,0,0,0,0,0,14,0,0
Kyrgyzstan,Illinois,5,11,5,149,0,10,5,8,6,254,5,13
Kyrgyzstan,Massachusetts,0,0,0,0,0,0,0,0,0,14,0,0
Kyrgyzstan,New Jersey,0,0,0,0,0,0,0,0,0,6,0,0
Kyrgyzstan,New York,0,5,5,48,0,0,5,0,6,35,0,0
Kyrgyzstan,Pennsylvania,0,9,0,57,0,0,0,9,5,78,0,5
Kyrgyzstan,Texas,0,0,0,5,0,0,0,0,9,0,0,0
Kyrgyzstan,Virginia,0,0,0,8,0,0,0,0,0,0,0,0
South Korea,California,0,0,0,18,0,0,0,0,0,6,0,0
South Korea,New Jersey,0,0,0,7,0,0,0,0,0,0,0,0
South Korea,New York,0,0,0,20,0,0,0,0,0,10,0,0
South Korea,Virginia,0,0,0,5,0,0,0,0,0,0,0,0
North Korea,California,0,0,0,5,0,0,0,0,0,0,0,0
North Korea,New York,0,0,0,5,0,0,0,0,0,0,0,0
Kuwait,California,0,0,0,5,0,0,0,0,0,5,0,0
Kuwait,Illinois,0,0,0,5,0,0,0,0,0,0,0,0
Kuwait,New Jersey,0,0,0,0,0,0,0,0,0,5,0,0
Kuwait,Pennsylvania,0,0,0,5,0,0,0,0,0,0,0,0
Kuwait,Texas,0,0,0,0,0,0,0,0,0,5,0,0
Kuwait,New York,0,0,0,0,0,0,0,0,0,5,0,0
Laos,California,0,0,0,0,5,0,0,0,0,0,0,0
Laos,Florida,0,0,0,0,0,0,0,0,0,5,0,0
Liberia,Maryland,0,0,0,12,0,0,0,0,0,5,0,0
Liberia,Massachusetts,0,0,0,5,0,0,0,0,0,0,0,0
Liberia,New Jersey,0,0,0,14,0,0,0,5,0,5,0,0
Liberia,New York,0,0,0,9,0,0,0,0,0,9,0,0
Liberia,Pennsylvania,0,0,5,53,5,0,0,0,5,39,5,0
Liberia,Virginia,0,0,0,5,0,0,0,0,0,0,0,0
Libya,California,0,0,0,5,0,0,0,0,0,21,0,0
Libya,Florida,0,0,0,9,0,0,0,0,0,13,0,0
Libya,Illinois,0,0,0,7,0,0,0,0,0,17,0,0
Libya,Massachusetts,0,0,0,0,0,0,0,0,0,5,0,0
Libya,New Jersey,0,0,0,5,0,0,0,0,0,0,0,0
Libya,New York,0,0,0,0,0,0,0,0,0,14,0,0
Libya,Pennsylvania,0,0,0,0,0,0,0,0,0,5,0,0
Libya,Texas,0,0,0,6,0,0,0,0,5,9,0,0
Libya,Virginia,0,0,0,0,0,0,0,0,0,5,0,0
St. Lucia,New York,0,0,0,0,0,0,0,0,0,6,0,0
St. Lucia,New Jersey,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,California,0,0,0,33,0,0,0,0,9,57,0,0
Lebanon,Florida,0,0,0,0,0,0,0,0,0,11,0,0
Lebanon,Illinois,0,0,0,0,0,0,0,0,0,7,0,0
Lebanon,Massachusetts,0,0,0,14,0,0,0,0,5,23,0,0
Lebanon,New Jersey,0,0,0,6,0,0,0,0,8,9,0,0
Lebanon,New York,0,0,0,0,0,0,0,0,0,14,0,0
Lebanon,Pennsylvania,0,0,0,0,0,0,0,0,0,7,0,0
Lebanon,Texas,0,0,5,15,0,0,0,8,0,22,0,0
Lebanon,Virginia,0,0,0,7,0,0,0,0,0,8,0,0
Sri Lanka,California,0,0,0,15,0,0,0,0,0,50,5,10
Sri Lanka,Florida,0,0,0,0,0,0,0,0,0,11,0,0
Sri Lanka,Illinois,0,0,0,0,0,0,0,0,0,25,0,0
Sri Lanka,Maryland,0,0,0,5,0,0,0,0,0,7,0,0
Sri Lanka,Massachusetts,0,0,0,7,0,0,0,0,0,10,0,5
Sri Lanka,New Jersey,0,0,0,20,0,0,0,0,0,33,0,5
Sri Lanka,New York,0,0,0,21,0,5,0,0,0,91,5,16
Sri Lanka,Pennsylvania,0,0,0,0,0,0,0,0,0,26,0,0
Sri Lanka,Texas,0,0,0,5,0,0,0,0,0,51,0,5
Sri Lanka,Virginia,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,Florida,0,0,0,8,0,0,0,0,0,0,0,0
Lithuania,Illinois,0,0,0,0,0,0,0,0,0,5,0,0
Lithuania,New York,0,0,0,5,0,0,0,0,0,0,0,0
Lithuania,California,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,California,0,0,0,7,0,0,0,0,0,5,0,0
Latvia,Illinois,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,New York,0,0,0,7,0,0,0,0,0,0,0,0
Latvia,Florida,0,0,0,0,0,0,0,0,0,0,0,0
Macau,Florida,0,0,0,0,0,0,0,0,5,0,0,0
Madagascar,New York,0,0,0,5,0,0,0,0,0,0,0,0
Mauritania,Illinois,0,0,0,0,0,0,0,0,5,0,0,0
Mauritania,New York,0,0,0,13,0,0,0,0,0,101,0,5
Mauritania,Pennsylvania,0,0,0,0,0,0,0,0,0,20,0,5
Mauritania,Texas,0,0,0,0,0,0,0,0,0,5,0,0
Mauritania,Virginia,0,0,0,0,0,0,0,0,0,29,0,0
Mauritania,California,0,0,0,0,0,0,0,0,0,5,0,0
Macedonia,Florida,0,0,0,0,0,0,0,0,0,8,0,0
Macedonia,Illinois,0,0,0,14,0,0,0,0,0,31,0,0
Macedonia,New Jersey,0,0,0,0,0,0,0,0,0,9,0,0
Macedonia,New York,0,0,0,0,0,0,0,0,0,13,0,0
Moldova,California,0,0,0,16,0,0,0,0,0,21,0,0
Moldova,Florida,0,5,0,25,0,0,0,0,0,34,0,0
Moldova,Illinois,0,7,5,164,0,7,0,7,0,195,0,14
Moldova,Maryland,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,Massachusetts,0,0,0,0,0,0,0,0,0,14,0,0
Moldova,New Jersey,0,0,5,5,0,0,0,0,0,0,0,0
Moldova,New York,0,0,0,13,0,0,0,0,0,17,0,0
Moldova,Pennsylvania,0,0,0,10,0,0,0,0,0,0,0,0
Moldova,Texas,0,0,0,0,0,0,0,0,0,7,0,0
Moldova,Virginia,0,0,0,14,0,0,0,0,0,0,0,0
Mexico,California,175,1174,884,5790,124,220,183,1225,952,4748,164,327
Mexico,Florida,124,134,71,1701,18,40,97,136,92,1851,37,55
Mexico,Illinois,17,182,124,559,12,70,27,174,115,488,8,58
Mexico,Maryland,6,17,0,75,0,0,7,8,11,120,0,5
Mexico,Massachusetts,7,10,0,105,0,0,5,7,5,106,0,7
Mexico,New Jersey,11,19,18,1959,14,12,12,22,18,2027,24,23
Mexico,New York,12,18,15,1009,8,51,11,20,8,1075,21,52
Mexico,Pennsylvania,5,32,14,318,8,5,12,29,23,367,9,9
Mexico,Texas,67,167,122,1016,33,125,58,182,139,1353,51,187
Mexico,Virginia,9,20,12,172,5,8,9,30,12,305,7,13
Mali,Illinois,0,0,0,9,0,0,0,0,0,0,0,0
Mali,Maryland,0,0,0,7,0,0,0,0,0,9,0,0
Mali,New Jersey,0,0,0,0,0,0,0,0,0,14,0,0
Mali,New York,0,5,0,81,0,5,5,5,0,83,5,6
Mali,Pennsylvania,0,0,0,30,0,0,0,0,0,6,0,0
Mali,Texas,0,0,0,5,0,0,0,0,0,5,0,0
Malaysia,California,0,0,0,5,0,0,0,0,0,0,0,0
Malaysia,Florida,0,0,5,0,0,0,0,0,0,0,0,0
Malaysia,Illinois,0,0,0,5,0,0,0,0,0,0,0,0
Malaysia,New York,0,0,0,20,0,0,0,0,0,18,0,0
Malaysia,Texas,0,0,0,5,0,0,0,0,0,0,0,0
Malawi,Illinois,0,0,0,0,0,0,0,0,0,5,0,0
Malawi,Maryland,0,0,0,5,0,0,0,0,5,0,0,0
Malawi,Massachusetts,0,0,0,5,0,0,0,0,0,0,0,0
Malawi,New York,0,0,0,5,0,0,0,0,0,0,0,0
Malawi,Texas,0,0,0,0,0,0,0,0,0,5,0,0
Malawi,Virginia,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,California,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,Florida,0,0,0,8,0,0,0,0,0,0,0,0
Montenegro,Illinois,0,0,0,26,0,0,0,0,0,68,0,0
Montenegro,New Jersey,0,0,0,5,0,0,0,0,0,5,0,0
Montenegro,New York,0,0,0,10,0,0,0,0,5,18,0,0
Mongolia,California,0,5,5,61,0,0,0,0,8,66,0,0
Mongolia,Illinois,0,8,11,125,0,8,0,12,10,111,5,5
Mongolia,Maryland,0,0,0,0,0,0,0,0,0,5,0,0
Mongolia,New York,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,Virginia,0,0,0,8,0,5,0,0,0,17,0,0
Morocco,California,0,0,0,0,0,0,0,0,0,6,0,0
Morocco,Florida,0,0,0,5,0,0,0,0,0,0,0,0
Morocco,Illinois,0,0,0,0,0,0,0,0,0,5,0,0
Morocco,New Jersey,0,0,0,0,0,0,0,0,0,6,0,0
Morocco,New York,0,0,0,0,0,0,0,0,0,5,0,0
Morocco,Pennsylvania,0,0,0,5,0,0,0,0,5,0,0,0
Morocco,Texas,0,0,0,0,0,0,0,0,0,5,0,0
Morocco,Virginia,0,0,0,0,0,0,0,0,0,5,0,0
Mozambique,Texas,0,0,5,0,0,0,0,0,0,0,0,0
Mozambique,New York,0,0,6,0,0,0,0,0,0,0,0,0
Mauritius,New York,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,California,0,0,0,21,0,0,0,0,5,44,0,0
Myanmar,Florida,0,0,0,5,0,0,0,0,0,11,0,0
Myanmar,Illinois,0,0,0,0,0,0,0,0,5,9,0,0
Myanmar,Maryland,0,0,0,0,0,0,0,0,0,9,0,0
Myanmar,Massachusetts,0,0,0,0,0,0,0,0,0,5,0,0
Myanmar,New Jersey,0,0,0,7,0,0,0,0,0,11,0,0
Myanmar,New York,0,0,0,17,0,0,0,0,0,36,0,0
Myanmar,Pennsylvania,0,0,0,0,0,0,0,0,0,14,0,0
Myanmar,Texas,0,0,0,5,0,0,0,0,0,15,0,0
Myanmar,Virginia,0,0,0,5,0,0,0,0,0,0,0,0
Namibia,Illinois,0,5,0,0,0,0,0,0,0,0,0,0
Namibia,Texas,0,0,5,0,0,0,0,0,0,0,0,0
Nepal,California,0,0,5,79,0,5,0,8,0,356,5,64
Nepal,Florida,0,0,0,0,0,0,0,0,0,5,0,0
Nepal,Illinois,0,0,0,5,0,0,0,0,0,7,0,0
Nepal,Maryland,0,0,0,13,0,0,0,0,0,36,0,5
Nepal,Massachusetts,0,0,0,11,0,0,0,0,0,39,0,0
Nepal,New Jersey,0,0,0,0,0,0,0,5,0,19,0,0
Nepal,New York,0,0,0,77,0,10,0,5,0,483,5,118
Nepal,Pennsylvania,0,0,0,5,0,0,0,0,0,15,0,0
Nepal,Texas,0,0,0,13,0,0,0,0,0,205,0,40
Nepal,Virginia,0,0,0,18,0,0,0,0,0,27,0,5
Netherlands (Kingdom of the),California,0,0,9,0,0,0,0,0,0,0,0,0
Netherlands (Kingdom of the),Florida,0,0,0,5,0,0,0,0,0,0,0,0
Netherlands (Kingdom of the),Illinois,0,0,0,0,0,0,0,0,0,5,0,0
Netherlands (Kingdom of the),Maryland,0,0,0,0,0,0,0,0,0,5,0,0
Netherlands (Kingdom of the),New Jersey,0,0,0,6,0,0,0,0,0,0,0,0
Netherlands (Kingdom of the),New York,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands (Kingdom of the),Texas,0,0,0,5,0,0,0,0,0,0,0,0
Netherlands (Kingdom of the),Virginia,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,California,64,200,99,1238,0,71,62,205,142,1830,5,163
Nicaragua,Florida,87,251,154,1584,10,160,126,305,169,2245,8,368
Nicaragua,Illinois,6,10,7,46,0,5,7,9,5,81,0,10
Nicaragua,Maryland,5,18,9,110,0,7,0,10,10,175,0,29
Nicaragua,Massachusetts,7,0,0,30,0,5,5,7,6,35,0,11
Nicaragua,New Jersey,11,18,8,126,0,23,5,14,14,153,0,23
Nicaragua,New York,13,46,26,252,0,28,29,50,29,319,0,56
Nicaragua,Pennsylvania,5,11,5,51,0,5,7,10,0,86,0,7
Nicaragua,Texas,26,90,52,530,5,68,39,79,58,783,0,126
Nicaragua,Virginia,6,21,10,98,0,5,8,15,9,137,0,20
Nigeria,California,0,18,5,71,5,0,0,14,8,72,5,14
Nigeria,Florida,0,0,0,0,0,0,0,5,5,9,0,0
Nigeria,Illinois,0,42,47,200,5,0,0,47,33,164,7,5
Nigeria,Maryland,0,47,54,295,11,0,0,60,72,158,10,5
Nigeria,Massachusetts,0,5,5,26,5,0,0,6,10,20,0,0
Nigeria,New Jersey,0,118,97,421,16,0,0,120,103,297,12,18
Nigeria,New York,0,21,15,121,5,11,0,27,20,108,5,10
Nigeria,Pennsylvania,0,11,15,75,0,0,0,6,20,50,0,0
Nigeria,Texas,0,134,105,476,14,19,0,129,109,326,14,31
Nigeria,Virginia,0,0,5,11,0,0,0,0,5,13,0,0
Niue,Texas,0,0,0,0,0,0,0,0,0,0,0,0
Oman,Texas,0,0,0,0,0,0,0,0,7,0,0,0
Pakistan,California,0,5,0,40,0,0,0,0,8,102,0,15
Pakistan,Florida,0,0,0,8,0,0,0,0,0,9,5,0
Pakistan,Illinois,0,0,5,36,0,0,0,0,8,64,0,10
Pakistan,Maryland,0,0,6,25,0,0,0,0,5,52,0,0
Pakistan,Massachusetts,0,0,0,5,0,0,0,0,5,26,0,5
Pakistan,New Jersey,0,0,7,34,0,0,0,0,9,67,0,10
Pakistan,New York,0,11,17,93,5,9,0,10,13,265,16,43
Pakistan,Pennsylvania,0,0,7,37,0,0,0,5,0,87,5,10
Pakistan,Texas,0,8,0,51,0,0,0,8,13,95,5,0
Pakistan,Virginia,0,0,6,35,0,0,0,0,8,46,5,0
Panama,California,0,5,0,0,0,0,0,0,0,6,0,0
Panama,Florida,26,10,5,6,0,0,20,8,0,12,0,5
Panama,Illinois,8,0,0,0,0,0,0,0,0,5,0,0
Panama,Massachusetts,5,0,0,0,0,0,0,0,0,0,0,0
Panama,New Jersey,5,0,0,0,0,0,0,0,0,0,0,0
Panama,New York,0,5,0,0,0,0,6,0,0,0,0,0
Panama,Pennsylvania,0,0,0,0,0,0,0,6,0,0,0,0
Panama,Texas,30,0,0,5,0,0,12,6,0,5,0,0
Panama,Virginia,5,0,0,0,0,0,0,0,0,0,0,0
Paraguay,Florida,0,0,0,0,0,0,0,0,8,0,0,0
Paraguay,Massachusetts,0,0,0,5,0,0,0,0,0,0,0,0
Paraguay,New Jersey,0,0,0,8,0,0,0,0,0,6,0,0
Paraguay,New York,0,0,0,0,0,0,0,0,0,6,0,0
Paraguay,Texas,0,0,0,8,0,0,0,0,0,0,0,0
Peru,California,30,40,31,225,5,21,31,41,30,214,8,17
Peru,Florida,26,16,10,87,5,0,16,12,5,93,5,5
Peru,Illinois,0,5,0,8,0,0,0,0,0,12,0,0
Peru,Maryland,0,7,10,49,0,5,0,10,7,43,0,5
Peru,Massachusetts,0,6,5,41,0,0,0,7,6,39,0,5
Peru,New Jersey,21,46,39,322,6,27,20,52,35,333,8,41
Peru,New York,14,30,30,188,5,24,17,35,25,227,5,18
Peru,Pennsylvania,0,0,0,16,0,0,0,0,5,13,0,0
Peru,Texas,7,0,5,17,0,5,5,0,5,27,0,5
Peru,Virginia,8,25,17,114,0,6,5,18,12,98,0,10
Philippines,California,0,0,5,108,26,5,0,0,0,95,31,5
Philippines,Florida,0,0,0,0,0,0,0,0,0,7,0,0
Philippines,Illinois,0,0,0,14,5,0,0,0,0,14,0,0
Philippines,Maryland,0,0,0,10,0,0,0,0,0,16,0,0
Philippines,New Jersey,0,0,0,10,0,0,0,0,0,7,0,0
Philippines,New York,0,0,0,0,0,0,0,0,0,9,0,0
Philippines,Texas,0,0,0,5,0,0,0,0,0,0,0,0
Philippines,Virginia,0,0,0,8,0,0,0,0,0,0,0,0
Poland,California,0,0,0,0,0,0,0,0,0,6,0,0
Poland,Florida,0,0,0,0,0,0,0,0,0,5,0,0
Poland,Illinois,0,0,0,12,0,0,0,0,0,17,0,0
Poland,Massachusetts,0,0,0,0,0,0,0,0,0,5,0,0
Poland,New Jersey,0,0,0,62,0,0,0,0,0,55,0,0
Poland,New York,0,0,0,38,0,5,0,0,0,28,0,0
Poland,Pennsylvania,0,0,0,13,0,0,0,0,0,11,0,0
Portugal,Florida,0,0,0,0,0,0,0,0,0,8,0,0
Portugal,Illinois,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,Massachusetts,6,0,0,0,0,0,0,0,0,0,0,0
Portugal,New Jersey,0,0,0,18,0,16,0,0,0,16,0,7
Portugal,Pennsylvania,0,0,0,5,0,0,0,0,0,0,0,0
Qatar,Florida,0,0,0,0,0,0,0,0,0,5,0,0
Qatar,California,0,0,0,0,0,0,0,5,0,0,0,0
Romania,California,15,39,42,190,0,6,18,50,42,188,0,6
Romania,Florida,0,14,14,60,0,5,5,13,9,73,0,9
Romania,Illinois,5,0,0,29,0,0,0,0,5,53,0,0
Romania,Maryland,0,39,20,81,0,13,5,24,34,128,0,6
Romania,Massachusetts,0,0,0,6,0,0,0,0,0,7,0,0
Romania,New Jersey,0,0,0,6,0,0,0,0,0,0,0,0
Romania,New York,5,10,5,43,0,0,5,17,8,51,0,0
Romania,Pennsylvania,0,0,0,0,0,0,0,0,0,10,0,0
Romania,Texas,8,19,16,62,0,5,5,17,13,61,0,5
Romania,Virginia,5,5,13,35,0,5,5,7,10,28,0,0
South Africa,California,0,8,0,0,0,0,0,0,0,0,0,0
South Africa,Florida,0,7,0,14,0,0,0,0,5,7,0,0
South Africa,Illinois,0,0,5,7,0,0,0,8,0,0,0,0
South Africa,Maryland,0,0,0,5,0,0,0,0,0,0,0,0
South Africa,New Jersey,0,0,0,8,0,0,0,0,0,0,0,0
South Africa,New York,0,0,0,5,0,0,0,0,0,0,0,0
South Africa,Texas,0,0,7,13,0,0,0,0,13,12,0,0
South Africa,Virginia,0,0,0,0,0,0,0,0,0,7,0,0
Russia,California,139,275,162,1309,43,39,124,312,171,1871,21,65
Russia,Florida,5,49,20,220,7,17,7,47,26,251,5,9
Russia,Illinois,30,49,22,210,0,5,22,54,24,320,0,10
Russia,Maryland,0,0,5,11,0,5,0,0,7,16,0,0
Russia,Massachusetts,0,0,6,34,0,0,0,0,5,33,0,0
Russia,New Jersey,0,12,6,57,5,0,5,5,5,66,5,0
Russia,New York,49,102,52,490,10,31,62,99,60,653,9,51
